,moverscore,number of Unique sentences,chapter-title,source
137,0.56117402537556,7,Jane Eyre.volume 3.chapter 38,cliffnotes
138,0.5756899590035413,6,Jane Eyre.volume 1.chapter 1,sparknotes
139,0.5634471067849253,5,Jane Eyre.volume 1.chapter 2,sparknotes
140,0.5723456474605374,4,Jane Eyre.volume 1.chapter 3,sparknotes
141,0.5566454886440098,9,Jane Eyre.volume 1.chapter 4,sparknotes
142,0.5780249332992913,5,Jane Eyre.volume 1.chapter 5,sparknotes
143,0.5666049770775022,5,Jane Eyre.volume 1.chapter 6,sparknotes
144,0.5741667938346152,5,Jane Eyre.volume 1.chapter 7,sparknotes
145,0.5756732251040461,8,Jane Eyre.volume 1.chapter 8,sparknotes
146,0.5864239099868948,8,Jane Eyre.volume 1.chapter 9,sparknotes
147,0.5785102298992084,8,Jane Eyre.volume 1.chapter 10,sparknotes
148,0.5689554217406789,6,Jane Eyre.volume 2.chapter 16,sparknotes
149,0.5807870573027494,10,Jane Eyre.volume 2.chapter 17,sparknotes
150,0.55217555035372,7,Jane Eyre.volume 2.chapter 18,sparknotes
151,0.578057629605307,4,Jane Eyre.volume 2.chapter 19,sparknotes
152,0.5650644351781615,9,Jane Eyre.volume 2.chapter 20,sparknotes
153,0.5777904506679266,7,Jane Eyre.volume 2.chapter 21,sparknotes
154,0.5669065269208344,6,Jane Eyre.volume 2.chapter 22,sparknotes
155,0.5722509349424645,8,Jane Eyre.volume 2.chapter 23,sparknotes
156,0.5591112902801809,6,Jane Eyre.volume 2.chapter 24,sparknotes
157,0.5644796961898934,9,Jane Eyre.volume 2.chapter 25,sparknotes
158,0.5554259737922815,14,Jane Eyre.volume 3.chapter 26,sparknotes
159,0.5568485275139659,15,Jane Eyre.volume 3.chapter 27,sparknotes
160,0.5649336971535214,12,Jane Eyre.volume 3.chapter 28,sparknotes
161,0.5592464220138723,6,Jane Eyre.volume 3.chapter 29,sparknotes
162,0.5652914129588988,7,Jane Eyre.volume 3.chapter 30,sparknotes
163,0.5596459522955572,5,Jane Eyre.volume 3.chapter 31,sparknotes
164,0.57269440141515,9,Jane Eyre.volume 3.chapter 32,sparknotes
165,0.56396540332049,7,Jane Eyre.volume 3.chapter 33,sparknotes
166,0.5773803995113713,9,Jane Eyre.volume 3.chapter 34,sparknotes
167,0.5681424887434903,5,Jane Eyre.volume 3.chapter 35,sparknotes
168,0.579342915667974,8,Jane Eyre.volume 3.chapter 36,sparknotes
169,0.5885619409857148,12,Jane Eyre.volume 3.chapter 37,sparknotes
170,0.5656541829239358,8,Jane Eyre.volume 3.chapter 38,sparknotes
171,0.5424674103518315,7,Jane Eyre.volume 2.chapter 19,bookwolf
172,0.5628212913700215,6,Jane Eyre.volume 2.chapter 20,bookwolf
173,0.5666471077202987,12,Jane Eyre.volume 2.chapter 21,bookwolf
174,0.5554032808114275,5,Jane Eyre.volume 2.chapter 22,bookwolf
175,0.5530366128775436,12,Jane Eyre.volume 3.chapter 26,bookwolf
176,0.5690797610374241,5,Jane Eyre.volume 1.chapter 1,novelguide
177,0.5556101940387953,5,Jane Eyre.volume 1.chapter 2,novelguide
178,0.5688553596601542,5,Jane Eyre.volume 1.chapter 3,novelguide
179,0.5639756910627769,5,Jane Eyre.volume 1.chapter 4,novelguide
180,0.5560656458051755,6,Jane Eyre.volume 1.chapter 5,novelguide
181,0.5564127734329994,5,Jane Eyre.volume 1.chapter 6,novelguide
182,0.5561017998536817,4,Jane Eyre.volume 1.chapter 7,novelguide
183,0.5714268614665279,7,Jane Eyre.volume 1.chapter 8,novelguide
184,0.5693381211527703,5,Jane Eyre.volume 1.chapter 9,novelguide
185,0.5646698574993182,7,Jane Eyre.volume 1.chapter 10,novelguide
186,0.5688316797035388,8,Jane Eyre.volume 1.chapter 11,novelguide
187,0.5696861183400332,9,Jane Eyre.volume 1.chapter 12,novelguide
188,0.5615235951534088,6,Jane Eyre.volume 1.chapter 13,novelguide
189,0.5786513313202712,5,Jane Eyre.volume 1.chapter 14,novelguide
190,0.5680781611333567,16,Jane Eyre.volume 1.chapter 15,novelguide
191,0.5603410500863708,5,Jane Eyre.volume 2.chapter 16,novelguide
192,0.5561333524288741,11,Jane Eyre.volume 2.chapter 17,novelguide
193,0.5447262891852321,7,Jane Eyre.volume 2.chapter 18,novelguide
194,0.5610576353361973,5,Jane Eyre.volume 2.chapter 19,novelguide
195,0.5531575076662696,9,Jane Eyre.volume 2.chapter 20,novelguide
196,0.5609569362798844,13,Jane Eyre.volume 2.chapter 21,novelguide
197,0.5684947546263993,4,Jane Eyre.volume 2.chapter 22,novelguide
198,0.5708393394811793,9,Jane Eyre.volume 2.chapter 23,novelguide
199,0.5539261318234504,5,Jane Eyre.volume 2.chapter 24,novelguide
200,0.5674591585103756,8,Jane Eyre.volume 2.chapter 25,novelguide
201,0.5587396237354838,10,Jane Eyre.volume 3.chapter 26,novelguide
202,0.5552706303234367,13,Jane Eyre.volume 3.chapter 27,novelguide
203,0.5673027910283859,8,Jane Eyre.volume 3.chapter 28,novelguide
204,0.5526435221472948,6,Jane Eyre.volume 3.chapter 29,novelguide
205,0.5578991501155148,6,Jane Eyre.volume 3.chapter 30,novelguide
206,0.5536895055145676,6,Jane Eyre.volume 3.chapter 31,novelguide
207,0.5711989776974484,8,Jane Eyre.volume 3.chapter 32,novelguide
208,0.5519410832628169,9,Jane Eyre.volume 3.chapter 33,novelguide
209,0.5578069148986453,8,Jane Eyre.volume 3.chapter 34,novelguide
210,0.564689822054607,6,Jane Eyre.volume 3.chapter 35,novelguide
211,0.5662016076433292,7,Jane Eyre.volume 3.chapter 36,novelguide
212,0.5616377456981647,11,Jane Eyre.volume 3.chapter 37,novelguide
213,0.5682344529184843,8,Jane Eyre.volume 3.chapter 38,novelguide
214,0.5481887283970384,9,Adam Bede.book 1.chapter 1,gradesaver
215,0.5452665971667051,10,Adam Bede.book 1.chapter 2,gradesaver
216,0.5435527862872559,6,Adam Bede.book 1.chapter 3,gradesaver
217,0.5537146704778654,10,Adam Bede.book 1.chapter 4,gradesaver
218,0.5382096646935548,10,Adam Bede.book 1.chapter 5,gradesaver
219,0.5533448111440727,6,Adam Bede.book 1.chapter 6,gradesaver
220,0.5512794950256658,6,Adam Bede.book 1.chapter 7,gradesaver
221,0.5433951483729268,8,Adam Bede.book 1.chapter 8,gradesaver
222,0.5517358044984695,6,Adam Bede.book 1.chapter 9,gradesaver
223,0.5579128034149247,6,Adam Bede.book 1.chapter 10,gradesaver
224,0.5601482429173138,9,Adam Bede.book 1.chapter 11,gradesaver
225,0.5545759022324273,7,Adam Bede.book 1.chapter 12,gradesaver
226,0.5542356111746479,6,Adam Bede.book 1.chapter 13,gradesaver
227,0.5589404378270032,8,Adam Bede.book 1.chapter 14,gradesaver
228,0.5516533473971063,14,Adam Bede.book 1.chapter 15,gradesaver
229,0.5543615920663858,7,Adam Bede.book 1.chapter 16,gradesaver
230,0.5475093938655309,6,Adam Bede.book 2.chapter 17,gradesaver
231,0.5492800948054622,7,Adam Bede.book 2.chapter 18,gradesaver
232,0.5378205804142855,8,Adam Bede.book 2.chapter 19,gradesaver
233,0.5603945693113732,11,Adam Bede.book 2.chapter 20,gradesaver
234,0.5469244211644205,6,Adam Bede.book 2.chapter 21,gradesaver
235,0.546485709790553,8,Adam Bede.book 3.chapter 22,gradesaver
236,0.5516502528861715,6,Adam Bede.book 3.chapter 23,gradesaver
237,0.550155512421704,6,Adam Bede.book 3.chapter 24,gradesaver
238,0.5447797302640187,8,Adam Bede.book 3.chapter 25,gradesaver
239,0.5617676125279841,12,Adam Bede.book 3.chapter 26,gradesaver
240,0.553643146333609,10,Adam Bede.book 4.chapter 27,gradesaver
241,0.5611935304569341,7,Adam Bede.book 4.chapter 28,gradesaver
242,0.548841772054578,7,Adam Bede.book 4.chapter 29,gradesaver
243,0.5615472916867983,12,Adam Bede.book 4.chapter 30,gradesaver
244,0.5602567465438575,8,Adam Bede.book 4.chapter 31,gradesaver
245,0.5457594185615915,7,Adam Bede.book 4.chapter 32,gradesaver
246,0.543734739107944,8,Adam Bede.book 4.chapter 33,gradesaver
247,0.5601048512058108,8,Adam Bede.book 4.chapter 34,gradesaver
248,0.5540872947262517,8,Adam Bede.book 4.chapter 35,gradesaver
249,0.5609728737308389,9,Adam Bede.book 5.chapter 36,gradesaver
250,0.5609050705690571,8,Adam Bede.book 5.chapter 37,gradesaver
251,0.5657455526089884,12,Adam Bede.book 5.chapter 38,gradesaver
252,0.5596490275719465,8,Adam Bede.book 5.chapter 39,gradesaver
253,0.55976536910404,13,Adam Bede.book 5.chapter 40,gradesaver
254,0.5573433950992197,5,Adam Bede.book 5.chapter 41,gradesaver
255,0.5562101264801016,5,Adam Bede.book 5.chapter 42,gradesaver
256,0.5572130822677475,13,Adam Bede.book 5.chapter 43,gradesaver
257,0.5619247247141828,6,Adam Bede.book 5.chapter 44,gradesaver
258,0.5542811414651663,14,Adam Bede.book 5.chapter 45,gradesaver
259,0.564685024328719,3,Adam Bede.book 5.chapter 47,gradesaver
260,0.5554520543580079,12,Adam Bede.book 5.chapter 48,gradesaver
261,0.5635232923580796,8,Adam Bede.book 6.chapter 49,gradesaver
262,0.5550181055837778,5,Adam Bede.book 6.chapter 50,gradesaver
263,0.5636400347163039,7,Adam Bede.book 6.chapter 51,gradesaver
264,0.5606069720006177,6,Adam Bede.book 6.chapter 52,gradesaver
265,0.5437444700545189,6,Adam Bede.book 6.chapter 53,gradesaver
266,0.5672412186311754,7,Adam Bede.book 6.chapter 54,gradesaver
267,0.548178690751291,6,Adam Bede.book 6.chapter 55,gradesaver
268,0.5346853677003183,11,Adam Bede.book 1.chapter 1,shmoop
269,0.5390451970399329,10,Adam Bede.book 1.chapter 2,shmoop
270,0.5337314496299114,8,Adam Bede.book 1.chapter 3,shmoop
271,0.5356103181790566,12,Adam Bede.book 1.chapter 4,shmoop
272,0.5247670962537521,11,Adam Bede.book 1.chapter 5,shmoop
273,0.5231958867735708,8,Adam Bede.book 1.chapter 6,shmoop
274,0.5393499176848756,5,Adam Bede.book 1.chapter 7,shmoop
275,0.5261764102150422,8,Adam Bede.book 1.chapter 8,shmoop
276,0.5263485013078736,12,Adam Bede.book 1.chapter 9,shmoop
277,0.5372918168558518,9,Adam Bede.book 1.chapter 10,shmoop
278,0.5292344065679633,10,Adam Bede.book 1.chapter 11,shmoop
279,0.5304370097139269,9,Adam Bede.book 1.chapter 12,shmoop
280,0.5377813929118154,5,Adam Bede.book 1.chapter 13,shmoop
281,0.5486734959306894,8,Adam Bede.book 1.chapter 14,shmoop
282,0.5477250029170199,11,Adam Bede.book 1.chapter 15,shmoop
283,0.5306758965338059,14,Adam Bede.book 1.chapter 16,shmoop
284,0.5295320188732653,9,Adam Bede.book 2.chapter 17,shmoop
285,0.5357184524329157,13,Adam Bede.book 2.chapter 18,shmoop
286,0.5321549753070893,7,Adam Bede.book 2.chapter 19,shmoop
287,0.5431927476606536,13,Adam Bede.book 2.chapter 20,shmoop
