,rouge-2n,number of Unique sentences,title,source
175,0.06555575732340993,20,henry iv part 1,sparknotes
176,0.08024793158972814,21,king john,shmoop
177,0.06626566264900667,22,king john,sparknotes
178,0.06821941382936107,18,henry vi part 1,shmoop
179,0.03941331689757379,19,henry vi part 1,sparknotes
180,0.06571362776246767,15,richard iii,gradesaver
181,0.04906354410112519,14,richard iii,shmoop
182,0.08453716858029263,14,richard iii,sparknotes
183,0.06943153790555862,47,henry v,gradesaver
184,0.08108671646657424,50,henry v,shmoop
185,0.06583410425549405,20,henry viii,shmoop
186,0.051075504476388325,12,titus andronicus,gradesaver
187,0.06536611980391348,11,titus andronicus,shmoop
188,0.05359659047167467,11,titus andronicus,sparknotes
189,0.08104547600228128,43,julius caesar,gradesaver
190,0.08326307647398026,34,julius caesar,shmoop
191,0.08778482877930757,38,julius caesar,sparknotes
192,0.08564832937119535,20,two gentlemen of verona,shmoop
193,0.0908116836751861,17,two gentlemen of verona,sparknotes
194,0.0976854377163518,29,the wonderful wizard of oz,gradesaver
195,0.0757272054157933,31,the wonderful wizard of oz,shmoop
196,0.06452976802999554,17,pygmalion,gradesaver
197,0.057743437889821836,16,pygmalion,shmoop
198,0.06841433021248042,16,pygmalion,sparknotes
199,0.07248378164529455,27,twelfth night,gradesaver
200,0.09113400080582142,27,twelfth night,sparknotes
201,0.06651695243920663,20,the aeneid,gradesaver
202,0.06392287301020261,20,the aeneid,shmoop
203,0.06238122415446712,19,the aeneid,sparknotes
204,0.036419354703300884,15,ghosts,gradesaver
205,0.06799651468912518,16,ghosts,shmoop
206,0.07628555816806881,26,merry wives of windsor,shmoop
207,0.06606060311854786,26,merry wives of windsor,sparknotes
208,0.07123911772832096,20,the spanish tragedy,gradesaver
209,0.06855503345972325,25,the spanish tragedy,shmoop
210,0.07524851387066138,24,tartuffe,gradesaver
211,0.06819637008372444,24,tartuffe,shmoop
212,0.0368738671606701,10,an enemy of the people,gradesaver
213,0.06752398869830646,7,an enemy of the people,shmoop
214,0.08847736193766524,8,an enemy of the people,sparknotes
215,0.04026066493640382,16,siddhartha,gradesaver
216,0.07305847740025496,15,siddhartha,shmoop
217,0.06712729375030171,22,measure for measure,gradesaver
218,0.06036111295338444,11,measure for measure,shmoop
219,0.08662512030674599,12,measure for measure,sparknotes
220,0.039932621349314586,18,the seagull,gradesaver
221,0.054518743973599425,18,the seagull,shmoop
222,0.12794838807943637,32,alice's adventure in wonderland,gradesaver
223,0.12615671181352442,29,alice's adventure in wonderland,sparknotes
224,0.06504546836651452,36,pride and prejudice,gradesaver
225,0.11024210618182342,34,pride and prejudice,cliffnotes
226,0.0696685010666774,27,emma,gradesaver
227,0.07119343470556874,13,emma,shmoop
228,0.0748258637781912,13,emma,sparknotes
229,0.05907293255418779,17,white fang,gradesaver
230,0.06422124136078722,13,white fang,shmoop
231,0.07998062862752736,12,white fang,sparknotes
232,0.08273907508184888,34,romeo and juliet,gradesaver
233,0.06552980691448312,23,romeo and juliet,shmoop
234,0.07545799802707007,24,romeo and juliet,sparknotes
235,0.059746988273980034,31,the merchant of venice,shmoop
236,0.080116240328752,30,the merchant of venice,sparknotes
237,0.07645868481718512,21,major barbara,shmoop
238,0.044882423540716566,18,major barbara,sparknotes
239,0.08313294604240455,20,the jew of malta,gradesaver
240,0.06478074953883294,22,the jew of malta,sparknotes
241,0.12201074635127601,27,an ideal husband,gradesaver
242,0.10669400025223144,22,an ideal husband,shmoop
243,0.11663331902223521,21,an ideal husband,sparknotes
244,0.07740466699847247,10,the three musketeers,gradesaver
245,0.04925270392686023,15,the three musketeers,shmoop
246,0.05375710993714015,16,the three musketeers,cliffnotes
247,0.04540524432582591,14,the three musketeers,sparknotes
248,0.041476629989285384,18,black beauty,gradesaver
249,0.07442701465394731,17,black beauty,shmoop
250,0.04695093809491324,21,king lear,gradesaver
251,0.05790151002899415,18,king lear,shmoop
252,0.08816889273514628,18,king lear,sparknotes
253,0.05899946644375043,23,antony and cleopatra,gradesaver
254,0.08035063861692705,24,antony and cleopatra,sparknotes
255,0.08231625742333135,45,the adventures of huckleberry finn,gradesaver
256,0.11481806684120577,21,the adventures of huckleberry finn,cliffnotes
257,0.1106223786091221,24,the adventures of huckleberry finn,sparknotes
258,0.05717399312624483,17,the duchess of malfi,gradesaver
259,0.06546765068637062,17,the duchess of malfi,shmoop
260,0.08855823544540063,18,the secret garden,gradesaver
261,0.05693160828888706,20,the secret garden,shmoop
262,0.07222406919012359,19,the secret garden,sparknotes
263,0.061892661910238976,15,the age of innocence,shmoop
264,0.07495907793474013,17,the age of innocence,cliffnotes
265,0.08743275946329973,17,the age of innocence,sparknotes
266,0.07847013539779991,23,ethan frome,gradesaver
267,0.08034282948130365,26,ethan frome,shmoop
268,0.08810991185317911,24,ethan frome,cliffnotes
269,0.07092969542593817,27,ethan frome,sparknotes
270,0.09945923516216865,28,bleak house,gradesaver
271,0.06943893211771836,39,bleak house,shmoop
272,0.09171167651405904,29,bleak house,cliffnotes
273,0.06808805427197771,28,bleak house,sparknotes
274,0.08680892918192626,40,the jungle,gradesaver
275,0.08339200813093903,37,the jungle,shmoop
276,0.09455549739632235,40,the jungle,sparknotes
277,0.09425911603661974,22,much ado about nothing,gradesaver
278,0.08190895104845809,22,much ado about nothing,shmoop
279,0.11689008341791794,18,much ado about nothing,sparknotes
280,0.09515263960793885,22,anthem,gradesaver
281,0.08566695943732178,21,anthem,shmoop
282,0.08122354691388849,24,anthem,cliffnotes
283,0.11229057015943944,22,anthem,sparknotes
284,0.0716119115227068,34,as you like it,gradesaver
285,0.07102680329092692,29,as you like it,shmoop
286,0.0989263448061206,29,as you like it,sparknotes
287,0.04485767971634004,15,the ambassadors,shmoop
288,0.06253941777731091,13,the ambassadors,cliffnotes
289,0.06530785995419756,25,the taming of the shrew,gradesaver
290,0.07092598874829693,26,the taming of the shrew,shmoop
291,0.07942583812989065,29,the taming of the shrew,sparknotes
292,0.07408993800180462,49,the brothers karamazov,gradesaver
293,0.0801778460169319,36,the brothers karamazov,shmoop
294,0.07323291636720038,37,the brothers karamazov,cliffnotes
295,0.08393399418620623,38,the brothers karamazov,sparknotes
296,0.06747563432111624,37,the portrait of a lady,gradesaver
297,0.08818485485456956,21,the portrait of a lady,shmoop
298,0.10034474117691165,23,the portrait of a lady,cliffnotes
299,0.0817345171286128,22,the portrait of a lady,sparknotes
300,0.031822653856694146,8,the prince,gradesaver
301,0.01340750481703716,7,the prince,shmoop
302,0.03955069960183313,9,the prince,cliffnotes
303,0.03805631754118718,7,the prince,sparknotes
304,0.07851024428199715,11,the red and the black,shmoop
305,0.06331801109852671,19,the red and the black,cliffnotes
306,0.11117240524290964,17,the red and the black,sparknotes
307,0.08369436979036397,28,the picture of dorian gray,gradesaver
308,0.06590145082266065,24,the picture of dorian gray,shmoop
309,0.07657114095378179,24,the picture of dorian gray,cliffnotes
310,0.08201139957613289,22,the picture of dorian gray,sparknotes
311,0.05223346774605536,19,lord jim,gradesaver
312,0.05041598246928524,8,lord jim,shmoop
313,0.042597550719896106,20,lord jim,cliffnotes
314,0.06405202549972187,18,lord jim,sparknotes
315,0.059072008212254834,18,far from the madding crowd,gradesaver
316,0.042932076602717174,12,far from the madding crowd,shmoop
317,0.05174619969740595,11,far from the madding crowd,cliffnotes
318,0.07731611854368713,12,far from the madding crowd,sparknotes
319,0.07169924652373341,20,sense and sensibility,gradesaver
320,0.06751985810797338,18,sense and sensibility,shmoop
321,0.07497717339583905,20,sense and sensibility,cliffnotes
322,0.10073698211670272,19,sense and sensibility,sparknotes
323,0.05502424000376316,26,the white devil,gradesaver
324,0.08998849129755428,21,the white devil,shmoop
325,0.0711138976157548,35,the tempest,gradesaver
326,0.06153292478319411,34,the tempest,shmoop
327,0.06472489906605974,37,the tempest,sparknotes
328,0.06547195744055734,39,uncle vanya,gradesaver
329,0.07775220678883599,21,uncle vanya,shmoop
330,0.06500056324795302,21,uncle vanya,sparknotes
331,0.04388904176473569,14,the comedy of errors,shmoop
332,0.07598838728411873,14,the comedy of errors,sparknotes
