,rouge-l,number of Unique sentences,title,source
220,0.17710700750247094,24,the seagull,gradesaver
221,0.18746774204860966,25,the seagull,shmoop
222,0.2745560883997143,30,alice's adventure in wonderland,gradesaver
223,0.28188729676322033,25,alice's adventure in wonderland,sparknotes
224,0.19922628800869377,35,pride and prejudice,gradesaver
225,0.24877064266968024,33,pride and prejudice,cliffnotes
226,0.2023197872217839,27,emma,gradesaver
227,0.2075020906877435,15,emma,shmoop
228,0.20513530288134318,13,emma,sparknotes
229,0.19025322135601686,16,white fang,gradesaver
230,0.19300641063373597,18,white fang,shmoop
231,0.21600368782612236,15,white fang,sparknotes
232,0.22316616368534042,43,romeo and juliet,gradesaver
233,0.17835115501598708,29,romeo and juliet,shmoop
234,0.21400990108900816,25,romeo and juliet,sparknotes
235,0.18265893373941533,34,the merchant of venice,shmoop
236,0.21644489872641323,33,the merchant of venice,sparknotes
237,0.2034235204176115,25,major barbara,shmoop
238,0.17404136390841965,21,major barbara,sparknotes
239,0.23154124527042386,27,the jew of malta,gradesaver
240,0.21888797576732544,32,the jew of malta,sparknotes
241,0.2525911990572543,29,an ideal husband,gradesaver
242,0.22592152387705736,25,an ideal husband,shmoop
243,0.24309477642926575,25,an ideal husband,sparknotes
244,0.2085111635585034,14,the three musketeers,gradesaver
245,0.1806867824353827,20,the three musketeers,shmoop
246,0.18595726004588112,19,the three musketeers,cliffnotes
247,0.17471571732113392,21,the three musketeers,sparknotes
248,0.16787980488594584,20,black beauty,gradesaver
249,0.19519352485791944,16,black beauty,shmoop
250,0.18275927097842734,23,king lear,gradesaver
251,0.18043465867097272,18,king lear,shmoop
252,0.21667370341055786,24,king lear,sparknotes
253,0.19603697491401975,30,antony and cleopatra,gradesaver
254,0.22308778258455594,30,antony and cleopatra,sparknotes
255,0.22827613518760936,45,the adventures of huckleberry finn,gradesaver
256,0.2527140620419858,22,the adventures of huckleberry finn,cliffnotes
257,0.24364544489203466,27,the adventures of huckleberry finn,sparknotes
258,0.17871326190279563,16,the duchess of malfi,gradesaver
259,0.1676696286667866,19,the duchess of malfi,shmoop
260,0.21514095230806152,16,the secret garden,gradesaver
261,0.18919090785214976,23,the secret garden,shmoop
262,0.1956123177522348,25,the secret garden,sparknotes
263,0.17376908130535904,20,the age of innocence,shmoop
264,0.19894820933212404,25,the age of innocence,cliffnotes
265,0.2186597413175838,22,the age of innocence,sparknotes
266,0.20850837012005483,27,ethan frome,gradesaver
267,0.20043498817477493,26,ethan frome,shmoop
268,0.21400773174618967,33,ethan frome,cliffnotes
269,0.20813740804383463,31,ethan frome,sparknotes
270,0.23532907792421398,39,bleak house,gradesaver
271,0.20224698676077602,40,bleak house,shmoop
272,0.21801660446587667,36,bleak house,cliffnotes
273,0.2039088046361923,35,bleak house,sparknotes
274,0.22598180183622882,41,the jungle,gradesaver
275,0.21604767851948659,48,the jungle,shmoop
276,0.23591063211950178,43,the jungle,sparknotes
277,0.23283242838747548,23,much ado about nothing,gradesaver
278,0.2100862806003687,26,much ado about nothing,shmoop
