,rouge-l,number of Unique sentences,chapter-title,source
4141,0.2947646186995566,4,Candide.chapter 21,shmoop
4142,0.22052830611238003,14,Candide.chapter 22,shmoop
4143,0.18800324572008612,2,Candide.chapter 23,shmoop
4144,0.17651299754022745,9,Candide.chapter 24,shmoop
4145,0.1655542148769285,4,Candide.chapter 25,shmoop
4146,0.15761014148017377,2,Candide.chapter 26,shmoop
4147,0.19745223763986022,4,Candide.chapter 27,shmoop
4148,0.17597307840558557,3,Candide.chapter 28,shmoop
4149,0.13265565746711575,2,Candide.chapter 29,shmoop
4150,0.17911025143665307,14,Candide.chapter 30,shmoop
4151,0.2757776423880722,6,Candide.chapter 1,sparknotes
4152,0.21281579634652584,5,Candide.chapter 2,sparknotes
4153,0.1836597275110553,3,Candide.chapter 3,sparknotes
4154,0.22133753413106572,7,Candide.chapter 4,sparknotes
4155,0.19099334756069425,5,Candide.chapter 5,sparknotes
4156,0.23350638460827305,4,Candide.chapter 6,sparknotes
4157,0.2037718607542392,2,Candide.chapter 7,sparknotes
4158,0.23534484645832165,4,Candide.chapter 8,sparknotes
4159,0.177512742160666,3,Candide.chapter 9,sparknotes
4160,0.16210556525488898,4,Candide.chapter 10,sparknotes
4161,0.19654094147015458,5,Candide.chapter 11,sparknotes
4162,0.19256935637892636,8,Candide.chapter 12,sparknotes
4163,0.2096594597454054,4,Candide.chapter 13,sparknotes
4164,0.18216984271220837,6,Candide.chapter 14,sparknotes
4165,0.21711556543659563,8,Candide.chapter 15,sparknotes
4166,0.2823445323432277,7,Candide.chapter 16,sparknotes
4167,0.2168709628419427,9,Candide.chapter 17,sparknotes
4168,0.19646044050910896,8,Candide.chapter 18,sparknotes
4169,0.23426839851994644,8,Candide.chapter 19,sparknotes
4170,0.1666660225705485,5,Candide.chapter 20,sparknotes
4171,0.26543638382545137,4,Candide.chapter 21,sparknotes
4172,0.25471357042153514,12,Candide.chapter 22,sparknotes
4173,0.2307587953806421,2,Candide.chapter 23,sparknotes
4174,0.189066219452232,9,Candide.chapter 24,sparknotes
4175,0.1354738484540336,3,Candide.chapter 25,sparknotes
4176,0.17080206452118427,3,Candide.chapter 26,sparknotes
4177,0.21660262221463764,3,Candide.chapter 27,sparknotes
4178,0.15701998500887693,4,Candide.chapter 28,sparknotes
4179,0.16019370420405196,2,Candide.chapter 29,sparknotes
4180,0.1924318120929495,15,Candide.chapter 30,sparknotes
4181,0.20498892547896108,5,Candide.chapter 1,novelguide
4182,0.20795405893810398,4,Candide.chapter 2,novelguide
4183,0.13368836931614633,6,Candide.chapter 3,novelguide
4184,0.1620721828696265,6,Candide.chapter 4,novelguide
4185,0.20030160581145012,5,Candide.chapter 5,novelguide
4186,0.14804857568046242,3,Candide.chapter 6,novelguide
4187,0.17005935576198733,1,Candide.chapter 7,novelguide
4188,0.19209958595713755,5,Candide.chapter 8,novelguide
