,meteor,number of Unique sentences,chapter-title,source
316,0.2191616373451933,10,Adam Bede.book 6.chapter 49,shmoop
317,0.2332195276815918,12,Adam Bede.book 6.chapter 50,shmoop
318,0.20735756447121245,15,Adam Bede.book 6.chapter 51,shmoop
319,0.19966217440136655,11,Adam Bede.book 6.chapter 52,shmoop
320,0.1966230051039872,9,Adam Bede.book 6.chapter 53,shmoop
321,0.24186983847232757,8,Adam Bede.book 6.chapter 54,shmoop
322,0.20674570502347045,7,Adam Bede.book 6.chapter 55,shmoop
323,0.19779620853702815,6,Adam Bede.epilogue.chapter 56,shmoop
324,0.2713618140779481,7,Adam Bede.book 1.chapter 1,cliffnotes
325,0.26021503997258594,5,Adam Bede.book 1.chapter 2,cliffnotes
326,0.2466479458699957,4,Adam Bede.book 1.chapter 3,cliffnotes
327,0.309001687755274,9,Adam Bede.book 1.chapter 4,cliffnotes
328,0.30818770765879144,5,Adam Bede.book 1.chapter 5,cliffnotes
329,0.24594787026833878,7,Adam Bede.book 1.chapter 10,cliffnotes
330,0.2570196637518495,8,Adam Bede.book 1.chapter 11,cliffnotes
331,0.24022256981812135,8,Adam Bede.book 1.chapter 16,cliffnotes
332,0.21382378447106887,3,Adam Bede.book 2.chapter 17,cliffnotes
333,0.2514568317686769,10,Adam Bede.book 2.chapter 18,cliffnotes
334,0.23163638302395295,5,Adam Bede.book 2.chapter 19,cliffnotes
335,0.281185452037585,11,Adam Bede.book 2.chapter 20,cliffnotes
336,0.2667960371197952,4,Adam Bede.book 2.chapter 21,cliffnotes
337,0.23940601624606633,5,Adam Bede.book 4.chapter 29,cliffnotes
338,0.23436606021761644,3,Adam Bede.book 4.chapter 32,cliffnotes
339,0.2718439979541471,5,Adam Bede.book 4.chapter 35,cliffnotes
340,0.3087413653194493,6,Adam Bede.book 5.chapter 38,cliffnotes
341,0.24909404553021935,6,Adam Bede.book 5.chapter 43,cliffnotes
342,0.28112886336545045,6,Adam Bede.book 5.chapter 44,cliffnotes
343,0.25447296729631774,9,Adam Bede.book 5.chapter 45,cliffnotes
344,0.28246392347811616,9,Adam Bede.book 5.chapter 48,cliffnotes
345,0.2796134563808087,4,Adam Bede.book 6.chapter 53,cliffnotes
346,0.22204219968319214,5,Adam Bede.epilogue.chapter 56,cliffnotes
347,0.30030881512134944,5,Adam Bede.book 1.chapter 1,sparknotes
348,0.28110936407763965,4,Adam Bede.book 1.chapter 2,sparknotes
349,0.2241359488570564,6,Adam Bede.book 1.chapter 3,sparknotes
350,0.2881397252471993,6,Adam Bede.book 1.chapter 4,sparknotes
351,0.3106266765060941,5,Adam Bede.book 1.chapter 5,sparknotes
352,0.30275705980415446,3,Adam Bede.book 1.chapter 6,sparknotes
353,0.222278514082488,4,Adam Bede.book 1.chapter 7,sparknotes
354,0.26277205263905123,3,Adam Bede.book 1.chapter 8,sparknotes
355,0.20047047033508913,2,Adam Bede.book 1.chapter 9,sparknotes
356,0.26448783347268573,5,Adam Bede.book 1.chapter 10,sparknotes
357,0.2700100324343809,6,Adam Bede.book 1.chapter 11,sparknotes
358,0.26628142235924596,6,Adam Bede.book 1.chapter 12,sparknotes
359,0.2951781520435398,5,Adam Bede.book 1.chapter 13,sparknotes
360,0.3069379397886941,7,Adam Bede.book 1.chapter 14,sparknotes
361,0.26000959250800504,8,Adam Bede.book 1.chapter 15,sparknotes
362,0.24491051972854233,8,Adam Bede.book 1.chapter 16,sparknotes
363,0.20264344989926114,5,Adam Bede.book 2.chapter 17,sparknotes
364,0.23582315841529028,5,Adam Bede.book 2.chapter 18,sparknotes
365,0.3155831993359334,4,Adam Bede.book 2.chapter 19,sparknotes
366,0.26366832656212397,9,Adam Bede.book 2.chapter 20,sparknotes
367,0.26287666612434246,4,Adam Bede.book 2.chapter 21,sparknotes
368,0.24691960578287597,4,Adam Bede.book 3.chapter 22,sparknotes
369,0.32788616649911106,2,Adam Bede.book 3.chapter 23,sparknotes
370,0.23860352194113635,3,Adam Bede.book 3.chapter 24,sparknotes
371,0.2510479511604356,4,Adam Bede.book 3.chapter 25,sparknotes
372,0.2830004755871179,5,Adam Bede.book 3.chapter 26,sparknotes
373,0.3177797852432163,8,Adam Bede.book 4.chapter 27,sparknotes
374,0.2644068866030748,6,Adam Bede.book 4.chapter 28,sparknotes
375,0.27153873015268504,5,Adam Bede.book 4.chapter 29,sparknotes
376,0.2982681703797108,6,Adam Bede.book 4.chapter 30,sparknotes
377,0.28582177555976535,7,Adam Bede.book 4.chapter 31,sparknotes
378,0.2744921989520287,6,Adam Bede.book 4.chapter 32,sparknotes
379,0.23684658709665282,4,Adam Bede.book 4.chapter 33,sparknotes
380,0.3126038044602956,6,Adam Bede.book 4.chapter 34,sparknotes
381,0.2497210216717064,6,Adam Bede.book 4.chapter 35,sparknotes
382,0.2674100104950445,6,Adam Bede.book 5.chapter 36,sparknotes
383,0.26342200144070965,5,Adam Bede.book 5.chapter 37,sparknotes
384,0.3097948375983014,7,Adam Bede.book 5.chapter 38,sparknotes
385,0.26452238275609213,4,Adam Bede.book 5.chapter 39,sparknotes
386,0.27709713526300334,8,Adam Bede.book 5.chapter 40,sparknotes
387,0.226398688437519,5,Adam Bede.book 5.chapter 41,sparknotes
388,0.2978112973178432,5,Adam Bede.book 5.chapter 42,sparknotes
389,0.3022091795193927,9,Adam Bede.book 5.chapter 43,sparknotes
390,0.2658622133791571,8,Adam Bede.book 5.chapter 44,sparknotes
