,bert,number of Unique sentences,chapter-title,source
4778,0.7006434202194214,11,dr--jekyll-and-mr--hyde-chapter-8,novelguide
4779,0.6965819001197815,8,dr--jekyll-and-mr--hyde-chapter-9,novelguide
4780,0.7175634503364563,16,dr--jekyll-and-mr--hyde-chapter-10,novelguide
4781,0.6721963286399841,7,the-turn-of-the-screw-chapter-5,gradesaver
4782,0.6910233497619629,9,the-turn-of-the-screw-chapter-6,gradesaver
4783,0.7543939352035522,7,the-turn-of-the-screw-chapter-7,gradesaver
4784,0.736985445022583,8,the-turn-of-the-screw-chapter-8,gradesaver
4785,0.6536051034927368,9,the-turn-of-the-screw-chapter-9,gradesaver
4786,0.7212477922439575,12,the-turn-of-the-screw-chapter-10,gradesaver
4787,0.6794307231903076,8,the-turn-of-the-screw-chapter-11,gradesaver
4788,0.7385903000831604,8,the-turn-of-the-screw-chapter-12,gradesaver
4789,0.717715859413147,8,the-turn-of-the-screw-chapter-13,gradesaver
4790,0.7491182088851929,6,the-turn-of-the-screw-chapter-14,gradesaver
4791,0.7037023305892944,6,the-turn-of-the-screw-chapter-15,gradesaver
4792,0.7632884979248047,8,the-turn-of-the-screw-chapter-16,gradesaver
4793,0.7386666536331177,13,the-turn-of-the-screw-chapter-17,gradesaver
4794,0.7613834142684937,10,the-turn-of-the-screw-chapter-18,gradesaver
4795,0.7288479804992676,7,the-turn-of-the-screw-chapter-19,gradesaver
4796,0.7379376888275146,8,the-turn-of-the-screw-chapter-20,gradesaver
4797,0.774442195892334,7,the-turn-of-the-screw-chapter-21,gradesaver
4798,0.6742730140686035,7,the-turn-of-the-screw-chapter-22,gradesaver
4799,0.684188723564148,7,the-turn-of-the-screw-chapter-23,gradesaver
4800,0.6633827686309814,14,the-turn-of-the-screw-chapter-24,gradesaver
4801,0.661239504814148,8,the-turn-of-the-screw-prologue,shmoop
4802,0.5624622106552124,6,the-turn-of-the-screw-chapter-1,shmoop
4803,0.6457129120826721,5,the-turn-of-the-screw-chapter-2,shmoop
4804,0.674414336681366,9,the-turn-of-the-screw-chapter-4,shmoop
4805,0.6407759189605713,6,the-turn-of-the-screw-chapter-5,shmoop
4806,0.6955640316009521,9,the-turn-of-the-screw-chapter-6,shmoop
4807,0.7461888194084167,7,the-turn-of-the-screw-chapter-7,shmoop
4808,0.7375839948654175,9,the-turn-of-the-screw-chapter-8,shmoop
4809,0.665057897567749,10,the-turn-of-the-screw-chapter-9,shmoop
4810,0.7196193337440491,11,the-turn-of-the-screw-chapter-10,shmoop
4811,0.6752773523330688,8,the-turn-of-the-screw-chapter-11,shmoop
4812,0.7832692861557007,7,the-turn-of-the-screw-chapter-12,shmoop
4813,0.7301508188247681,8,the-turn-of-the-screw-chapter-13,shmoop
4814,0.6848131418228149,6,the-turn-of-the-screw-chapter-14,shmoop
4815,0.7075291872024536,8,the-turn-of-the-screw-chapter-15,shmoop
4816,0.784248948097229,6,the-turn-of-the-screw-chapter-16,shmoop
4817,0.7175209522247314,10,the-turn-of-the-screw-chapter-17,shmoop
4818,0.7474976181983948,10,the-turn-of-the-screw-chapter-18,shmoop
4819,0.7710381746292114,6,the-turn-of-the-screw-chapter-19,shmoop
4820,0.7790434956550598,5,the-turn-of-the-screw-chapter-20,shmoop
4821,0.7859756946563721,5,the-turn-of-the-screw-chapter-21,shmoop
4822,0.6909613609313965,4,the-turn-of-the-screw-chapter-22,shmoop
4823,0.724015474319458,5,the-turn-of-the-screw-chapter-23,shmoop
4824,0.6945008039474487,11,the-turn-of-the-screw-chapter-24,shmoop
4825,0.707045316696167,8,the-turn-of-the-screw-prologue,cliffnotes
4826,0.6594499945640564,6,the-turn-of-the-screw-chapter-1,sparknotes
4827,0.6645188331604004,7,the-turn-of-the-screw-chapter-2,sparknotes
4828,0.7008690237998962,8,the-turn-of-the-screw-chapter-4,sparknotes
4829,0.7314143776893616,5,the-turn-of-the-screw-chapter-5,sparknotes
4830,0.7303025126457214,9,the-turn-of-the-screw-chapter-6,sparknotes
4831,0.7814529538154602,8,the-turn-of-the-screw-chapter-7,sparknotes
4832,0.7574843764305115,8,the-turn-of-the-screw-chapter-8,sparknotes
4833,0.7130073308944702,8,the-turn-of-the-screw-chapter-9,sparknotes
4834,0.7368320226669312,13,the-turn-of-the-screw-chapter-10,sparknotes
4835,0.6867452263832092,5,the-turn-of-the-screw-chapter-11,sparknotes
4836,0.8095203638076782,6,the-turn-of-the-screw-chapter-12,sparknotes
4837,0.7254530191421509,7,the-turn-of-the-screw-chapter-13,sparknotes
4838,0.7467126846313477,6,the-turn-of-the-screw-chapter-14,sparknotes
4839,0.7330261468887329,8,the-turn-of-the-screw-chapter-15,sparknotes
4840,0.7611397504806519,7,the-turn-of-the-screw-chapter-16,sparknotes
4841,0.7259649634361267,10,the-turn-of-the-screw-chapter-17,sparknotes
4842,0.7276015281677246,10,the-turn-of-the-screw-chapter-18,sparknotes
4843,0.7311825752258301,7,the-turn-of-the-screw-chapter-19,sparknotes
4844,0.7784608602523804,6,the-turn-of-the-screw-chapter-20,sparknotes
4845,0.7715003490447998,7,the-turn-of-the-screw-chapter-21,sparknotes
4846,0.6594669818878174,5,the-turn-of-the-screw-chapter-22,sparknotes
4847,0.6473281979560852,5,the-turn-of-the-screw-chapter-23,sparknotes
4848,0.6918127536773682,13,the-turn-of-the-screw-chapter-24,sparknotes
4849,0.613629162311554,7,candide-chapter-1,shmoop
4850,0.6166871786117554,6,candide-chapter-2,shmoop
4851,0.6882025003433228,8,candide-chapter-3,shmoop
4852,0.6762615442276001,9,candide-chapter-4,shmoop
4853,0.6042543053627014,5,candide-chapter-5,shmoop
4854,0.5804401636123657,5,candide-chapter-6,shmoop
4855,0.5732865333557129,3,candide-chapter-7,shmoop
4856,0.6224122643470764,6,candide-chapter-8,shmoop
4857,0.6139406561851501,6,candide-chapter-9,shmoop
4858,0.6290794610977173,6,candide-chapter-10,shmoop
4859,0.622840166091919,7,candide-chapter-11,shmoop
4860,0.6054216027259827,8,candide-chapter-12,shmoop
4861,0.6610733866691589,5,candide-chapter-13,shmoop
4862,0.6830055713653564,5,candide-chapter-14,shmoop
4863,0.6708944439888,10,candide-chapter-15,shmoop
4864,0.6627461314201355,11,candide-chapter-16,shmoop
4865,0.5709804892539978,9,candide-chapter-17,shmoop
4866,0.6103020310401917,6,candide-chapter-18,shmoop
4867,0.7166818976402283,8,candide-chapter-19,shmoop
4868,0.6289494633674622,5,candide-chapter-20,shmoop
4869,0.7971911430358887,5,candide-chapter-21,shmoop
4870,0.6249436140060425,15,candide-chapter-22,shmoop
4871,0.6042081713676453,4,candide-chapter-23,shmoop
4872,0.6590110659599304,9,candide-chapter-24,shmoop
4873,0.6763772964477539,4,candide-chapter-25,shmoop
4874,0.5859478712081909,3,candide-chapter-26,shmoop
4875,0.6765161752700806,3,candide-chapter-27,shmoop
4876,0.6534048914909363,4,candide-chapter-28,shmoop
4877,0.5682262778282166,3,candide-chapter-29,shmoop
4878,0.695855438709259,17,candide-chapter-30,shmoop
4879,0.6485497355461121,6,candide-chapter-1,cliffnotes
4880,0.6811537742614746,6,candide-chapter-1,sparknotes
4881,0.6493422985076904,5,candide-chapter-2,sparknotes
4882,0.6917167901992798,6,candide-chapter-3,sparknotes
4883,0.7259807586669922,8,candide-chapter-4,sparknotes
4884,0.6929020881652832,5,candide-chapter-5,sparknotes
4885,0.686211109161377,4,candide-chapter-6,sparknotes
4886,0.71217280626297,2,candide-chapter-7,sparknotes
4887,0.7115784287452698,5,candide-chapter-8,sparknotes
4888,0.6915180683135986,5,candide-chapter-9,sparknotes
4889,0.6684206128120422,5,candide-chapter-10,sparknotes
4890,0.6703733205795288,6,candide-chapter-11,sparknotes
4891,0.6381556391716003,7,candide-chapter-12,sparknotes
4892,0.6696828603744507,6,candide-chapter-13,sparknotes
4893,0.5963426828384399,8,candide-chapter-14,sparknotes
4894,0.6936611533164978,10,candide-chapter-15,sparknotes
4895,0.6983256340026855,8,candide-chapter-16,sparknotes
4896,0.6275407075881958,8,candide-chapter-17,sparknotes
4897,0.59836345911026,5,candide-chapter-18,sparknotes
4898,0.7224553227424622,8,candide-chapter-19,sparknotes
4899,0.6595303416252136,5,candide-chapter-20,sparknotes
4900,0.7151817083358765,5,candide-chapter-21,sparknotes
4901,0.7042233347892761,13,candide-chapter-22,sparknotes
4902,0.7072486877441406,4,candide-chapter-23,sparknotes
4903,0.7120187282562256,9,candide-chapter-24,sparknotes
4904,0.6878687143325806,3,candide-chapter-25,sparknotes
