,bert,number of Unique sentences,chapter-title,source
4450,0.7520772218704224,2,Romeo and Juliet.act 5.scene 2,cliffnotes
4451,0.7440556287765503,20,Romeo and Juliet.act 5.scene 3,cliffnotes
4452,0.6905235052108765,7,Romeo and Juliet.act 1.scene 1,sparknotes
4453,0.7152614593505859,7,Romeo and Juliet.act 1.scene 2,sparknotes
4454,0.6927947402000427,2,Romeo and Juliet.act 1.scene 3,sparknotes
4455,0.5935356616973877,5,Romeo and Juliet.act 1.scene 4,sparknotes
4456,0.6783082485198975,7,Romeo and Juliet.act 1.scene 5,sparknotes
4457,0.6252923011779785,4,Romeo and Juliet.act 2.scene 2,sparknotes
4458,0.5953099727630615,4,Romeo and Juliet.act 2.scene 3,sparknotes
4459,0.7287131547927856,3,Romeo and Juliet.act 2.scene 4,sparknotes
4460,0.6008177995681763,2,Romeo and Juliet.act 2.scene 5,sparknotes
4461,0.7181383967399597,9,Romeo and Juliet.act 3.scene 1,sparknotes
4462,0.7979472279548645,4,Romeo and Juliet.act 3.scene 2,sparknotes
4463,0.7393441200256348,6,Romeo and Juliet.act 3.scene 3,sparknotes
4464,0.6900665760040283,4,Romeo and Juliet.act 3.scene 4,sparknotes
4465,0.7023881673812866,8,Romeo and Juliet.act 3.scene 5,sparknotes
4466,0.7369457483291626,6,Romeo and Juliet.act 4.scene 1,sparknotes
4467,0.7337642908096313,3,Romeo and Juliet.act 4.scene 2,sparknotes
4468,0.690584659576416,5,Romeo and Juliet.act 5.scene 1,sparknotes
4469,0.7223201394081116,1,Romeo and Juliet.act 5.scene 2,sparknotes
4470,0.7139110565185547,21,Romeo and Juliet.act 5.scene 3,sparknotes
4471,0.7003090381622314,17,The Merchant of Venice.act 1.scene 1,shmoop
4472,0.6591362357139587,13,The Merchant of Venice.act 1.scene 2,shmoop
4473,0.7110030651092529,21,The Merchant of Venice.act 1.scene 3,shmoop
4474,0.6475997567176819,7,The Merchant of Venice.act 2.scene 1,shmoop
4475,0.6979500651359558,10,The Merchant of Venice.act 2.scene 2,shmoop
4476,0.6805511116981506,4,The Merchant of Venice.act 2.scene 3,shmoop
4477,0.6669083833694458,5,The Merchant of Venice.act 2.scene 4,shmoop
4478,0.7146629691123962,11,The Merchant of Venice.act 2.scene 5,shmoop
4479,0.6645577549934387,13,The Merchant of Venice.act 2.scene 6,shmoop
4480,0.6867027282714844,11,The Merchant of Venice.act 2.scene 7,shmoop
4481,0.7486398816108704,11,The Merchant of Venice.act 2.scene 8,shmoop
4482,0.7011486887931824,12,The Merchant of Venice.act 2.scene 9,shmoop
4483,0.7361039519309998,19,The Merchant of Venice.act 3.scene 1,shmoop
4484,0.7030672430992126,33,The Merchant of Venice.act 3.scene 2,shmoop
4485,0.7067282199859619,10,The Merchant of Venice.act 3.scene 3,shmoop
4486,0.6716508269309998,9,The Merchant of Venice.act 3.scene 4,shmoop
4487,0.7131141424179077,9,The Merchant of Venice.act 3.scene 5,shmoop
4488,0.7252027988433838,63,The Merchant of Venice.act 4.scene 1,shmoop
4489,0.7255895137786865,7,The Merchant of Venice.act 4.scene 2,shmoop
4490,0.6695684194564819,31,The Merchant of Venice.act 5.scene 1,shmoop
4491,0.7379081845283508,16,The Merchant of Venice.act 1.scene 1,cliffnotes
4492,0.7381449937820435,11,The Merchant of Venice.act 1.scene 2,cliffnotes
4493,0.7816988229751587,20,The Merchant of Venice.act 1.scene 3,cliffnotes
4494,0.6345828771591187,7,The Merchant of Venice.act 2.scene 1,cliffnotes
4495,0.7132959365844727,8,The Merchant of Venice.act 2.scene 2,cliffnotes
4496,0.7285226583480835,3,The Merchant of Venice.act 2.scene 3,cliffnotes
4497,0.6953839063644409,5,The Merchant of Venice.act 2.scene 4,cliffnotes
4498,0.7457283735275269,10,The Merchant of Venice.act 2.scene 5,cliffnotes
4499,0.6918633580207825,10,The Merchant of Venice.act 2.scene 6,cliffnotes
4500,0.6952271461486816,13,The Merchant of Venice.act 2.scene 7,cliffnotes
4501,0.8150873184204102,10,The Merchant of Venice.act 2.scene 8,cliffnotes
4502,0.7088362574577332,11,The Merchant of Venice.act 2.scene 9,cliffnotes
4503,0.7851501703262329,20,The Merchant of Venice.act 3.scene 1,cliffnotes
4504,0.7321113348007202,30,The Merchant of Venice.act 3.scene 2,cliffnotes
4505,0.7026711106300354,9,The Merchant of Venice.act 3.scene 3,cliffnotes
4506,0.7664846181869507,9,The Merchant of Venice.act 3.scene 4,cliffnotes
4507,0.7500054836273193,8,The Merchant of Venice.act 3.scene 5,cliffnotes
4508,0.745936393737793,60,The Merchant of Venice.act 4.scene 1,cliffnotes
4509,0.7573871612548828,5,The Merchant of Venice.act 4.scene 2,cliffnotes
4510,0.7083539962768555,25,The Merchant of Venice.act 5.scene 1,cliffnotes
4511,0.595832347869873,8,All's Well That Ends Well.act 1.scene 1,shmoop
4512,0.6373578310012817,13,All's Well That Ends Well.act 2.scene 1,shmoop
4513,0.5725768804550171,1,All's Well That Ends Well.act 3.scene 1,shmoop
4514,0.4869091212749481,4,All's Well That Ends Well.act 4.scene 1,shmoop
4515,0.5327532887458801,3,All's Well That Ends Well.act 5.scene 1,shmoop
4516,0.692152202129364,6,All's Well That Ends Well.act 1.scene 1,cliffnotes
4517,0.6805942058563232,15,All's Well That Ends Well.act 2.scene 1,cliffnotes
4518,0.5618624687194824,1,All's Well That Ends Well.act 3.scene 1,cliffnotes
4519,0.6664233803749084,3,All's Well That Ends Well.act 4.scene 1,cliffnotes
4520,0.6642659902572632,2,All's Well That Ends Well.act 5.scene 1,cliffnotes
4521,0.7318801283836365,4,All's Well That Ends Well.act 1.scene 1,novelguide
4522,0.8223304748535156,1,All's Well That Ends Well.act 3.scene 1,novelguide
4523,0.6592254638671875,3,All's Well That Ends Well.act 5.scene 1,novelguide
4524,0.6408923864364624,18,Major Barbara.act 1,shmoop
4525,0.6227741241455078,22,Major Barbara.act 2,shmoop
4526,0.6327822208404541,20,Major Barbara.act 3,shmoop
4527,0.6901215314865112,18,Major Barbara.act 1,cliffnotes
4528,0.6952990293502808,15,Major Barbara.act 2,cliffnotes
4529,0.6968743801116943,15,Major Barbara.act 3,cliffnotes
4530,0.6463222503662109,19,Major Barbara.act 1,sparknotes
4531,0.6641016006469727,15,Major Barbara.act 2,sparknotes
4532,0.6681409478187561,19,Major Barbara.act 3,sparknotes
4533,0.6822158098220825,23,The Jew of Malta.act 1,gradesaver
4534,0.6207011938095093,14,The Jew of Malta.act 2,gradesaver
4535,0.7185848355293274,18,The Jew of Malta.act 3,gradesaver
4536,0.7240324020385742,24,The Jew of Malta.act 4,gradesaver
4537,0.6850970387458801,22,The Jew of Malta.act 5,gradesaver
4538,0.7274428606033325,18,The Jew of Malta.act 1,sparknotes
