,chrf,number of Unique sentences,chapter-title,source
213,0.153003618224943,5,Jane Eyre.volume 3.chapter 38,novelguide
214,0.11703924774841702,11,Adam Bede.book 1.chapter 1,gradesaver
215,0.11522470747876117,13,Adam Bede.book 1.chapter 2,gradesaver
216,0.11981303951356521,7,Adam Bede.book 1.chapter 3,gradesaver
217,0.12784274589736278,11,Adam Bede.book 1.chapter 4,gradesaver
218,0.12486741927558714,10,Adam Bede.book 1.chapter 5,gradesaver
219,0.11945632406477606,7,Adam Bede.book 1.chapter 6,gradesaver
220,0.13949447108339394,4,Adam Bede.book 1.chapter 7,gradesaver
221,0.1638957487100874,7,Adam Bede.book 1.chapter 8,gradesaver
222,0.1296482295572453,7,Adam Bede.book 1.chapter 9,gradesaver
223,0.12696929291881065,8,Adam Bede.book 1.chapter 10,gradesaver
224,0.13765180964947812,8,Adam Bede.book 1.chapter 11,gradesaver
225,0.12423172149729671,9,Adam Bede.book 1.chapter 12,gradesaver
226,0.12990869745638492,6,Adam Bede.book 1.chapter 13,gradesaver
227,0.12125105180506508,8,Adam Bede.book 1.chapter 14,gradesaver
228,0.13513068140486514,11,Adam Bede.book 1.chapter 15,gradesaver
229,0.12198353840080763,7,Adam Bede.book 1.chapter 16,gradesaver
230,0.11193582976377625,5,Adam Bede.book 2.chapter 17,gradesaver
231,0.11024965151669583,8,Adam Bede.book 2.chapter 18,gradesaver
232,0.10291301637409139,7,Adam Bede.book 2.chapter 19,gradesaver
233,0.1425815253426223,11,Adam Bede.book 2.chapter 20,gradesaver
234,0.1253636806570182,8,Adam Bede.book 2.chapter 21,gradesaver
235,0.11640837589950521,5,Adam Bede.book 3.chapter 22,gradesaver
236,0.10346867572300328,6,Adam Bede.book 3.chapter 23,gradesaver
237,0.11347866642580855,7,Adam Bede.book 3.chapter 24,gradesaver
238,0.1105474658886856,7,Adam Bede.book 3.chapter 25,gradesaver
239,0.11887529148581333,10,Adam Bede.book 3.chapter 26,gradesaver
240,0.17197949602008955,11,Adam Bede.book 4.chapter 27,gradesaver
241,0.1491404334743075,6,Adam Bede.book 4.chapter 28,gradesaver
242,0.11555672519082,10,Adam Bede.book 4.chapter 29,gradesaver
