,bleu,number of Unique sentences,chapter-title,source
1535,0.255980570045854,8,Emma.volume 2.chapter 33,shmoop
1536,0.21529994947190534,8,Emma.volume 2.chapter 34,shmoop
1537,0.14279037737865868,6,Emma.volume 2.chapter 35,shmoop
1538,0.21174476913419704,6,Emma.volume 2.chapter 36,shmoop
1539,0.20436906468218521,4,Emma.volume 3.chapter 37,shmoop
1540,0.27014153666557345,13,Emma.volume 3.chapter 38,shmoop
1541,0.20797889272255987,7,Emma.volume 3.chapter 39,shmoop
1542,0.19104863097595182,6,Emma.volume 3.chapter 40,shmoop
1543,0.23070751299114015,7,Emma.volume 3.chapter 41,shmoop
1544,0.2231807309247039,12,Emma.volume 3.chapter 42,shmoop
1545,0.23992620818324015,8,Emma.volume 3.chapter 43,shmoop
1546,0.23619524043464826,6,Emma.volume 3.chapter 44,shmoop
1547,0.2300914072490562,8,Emma.volume 3.chapter 45,shmoop
1548,0.22357865148481793,9,Emma.volume 3.chapter 46,shmoop
1549,0.2168853565975575,10,Emma.volume 3.chapter 47,shmoop
1550,0.21162687478799122,6,Emma.volume 3.chapter 48,shmoop
1551,0.20710030359844625,10,Emma.volume 3.chapter 49,shmoop
1552,0.23163383802880785,6,Emma.volume 3.chapter 50,shmoop
1553,0.2304338418928673,6,Emma.volume 3.chapter 51,shmoop
1554,0.2235527096275023,7,Emma.volume 3.chapter 52,shmoop
