,bartscore,number of Unique sentences,chapter-title,source
2435,-2.4935954809188843,3,David Copperfield.chapter xviii,sparknotes
2436,-2.1456780433654785,8,David Copperfield.chapter xix,sparknotes
2437,-2.23962094102587,4,David Copperfield.chapter xx,sparknotes
2438,-2.2593072466552258,9,David Copperfield.chapter xxi,sparknotes
2439,-1.6847230877195085,7,David Copperfield.chapter xxii,sparknotes
2440,-2.0991717847910794,9,David Copperfield.chapter xxiii,sparknotes
2441,-2.5286515610558644,5,David Copperfield.chapter xxiv,sparknotes
2442,-2.3742483377456667,6,David Copperfield.chapter xxv,sparknotes
2443,-2.064863642056783,7,David Copperfield.chapter xxvi,sparknotes
2444,-1.8390112320582073,6,David Copperfield.chapter xxvii,sparknotes
2445,-2.2475116900775745,16,David Copperfield.chapter xxviii,sparknotes
2446,-2.3698350310325624,5,David Copperfield.chapter xxix,sparknotes
2447,-2.6452264274869646,3,David Copperfield.chapter xxx,sparknotes
2448,-2.185126554965973,9,David Copperfield.chapter xxxi,sparknotes
2449,-2.2550310691197715,9,David Copperfield.chapter xxxii,sparknotes
2450,-2.701823041989253,4,David Copperfield.chapter xxxiii,sparknotes
2451,-2.5663537979125977,6,David Copperfield.chapter xxxiv,sparknotes
2452,-2.240563142299652,8,David Copperfield.chapter xxxv,sparknotes
2453,-2.3869857971484842,9,David Copperfield.chapter xxxvi,sparknotes
2454,-2.5771174907684324,4,David Copperfield.chapter xxxvii,sparknotes
2455,-2.06911571820577,5,David Copperfield.chapter xxxviii,sparknotes
2456,-2.157725907034344,14,David Copperfield.chapter xxxix,sparknotes
2457,-2.5739559531211853,3,David Copperfield.chapter xl,sparknotes
2458,-2.402112754908475,7,David Copperfield.chapter xli,sparknotes
2459,-2.312791946861479,10,David Copperfield.chapter xlii,sparknotes
2460,-3.376791000366211,1,David Copperfield.chapter xliii,sparknotes
2461,-2.757019625769721,6,David Copperfield.chapter xliv,sparknotes
2462,-1.993853908777237,8,David Copperfield.chapter xlv,sparknotes
2463,-2.4339670879500255,9,David Copperfield.chapter xlvi,sparknotes
2464,-2.2942156394322715,4,David Copperfield.chapter xlvii,sparknotes
2465,-2.3339948654174805,4,David Copperfield.chapter xlviii,sparknotes
2466,-2.455053758621216,3,David Copperfield.chapter xlix,sparknotes
2467,-2.054786741733551,3,David Copperfield.chapter l,sparknotes
2468,-1.966105540593465,8,David Copperfield.chapter li,sparknotes
2469,-2.459853306412697,5,David Copperfield.chapter lii,sparknotes
2470,-2.985919862985611,6,David Copperfield.chapter liii,sparknotes
2471,-2.2671494007110597,8,David Copperfield.chapter liv,sparknotes
2472,-2.174437493085861,8,David Copperfield.chapter lv,sparknotes
2473,-2.596226954460144,5,David Copperfield.chapter lvi,sparknotes
2474,-2.410873460769653,3,David Copperfield.chapter lvii,sparknotes
2475,-2.3602461338043215,5,David Copperfield.chapter lviii,sparknotes
2476,-2.3190574944019318,4,David Copperfield.chapter lix,sparknotes
2477,-2.7537099664861504,5,David Copperfield.chapter lx,sparknotes
2478,-1.8526111046473186,6,David Copperfield.chapter lxi,sparknotes
2479,-1.979600578546524,3,David Copperfield.chapter lxii,sparknotes
2480,-2.0296853303909304,4,David Copperfield.chapter lxiii,sparknotes
2481,-2.6553505261739097,5,David Copperfield.chapter lxiv,sparknotes
2482,-2.8196401255471364,8,David Copperfield.chapter i,novelguide
2483,-2.953067428925458,9,David Copperfield.chapter ii,novelguide
2484,-2.78339403629303,6,David Copperfield.chapter iii,novelguide
2485,-2.9051600341443664,9,David Copperfield.chapter iv,novelguide
2486,-3.035823431881991,9,David Copperfield.chapter v,novelguide
2487,-3.083308513347919,7,David Copperfield.chapter vi,novelguide
2488,-2.823415916898976,8,David Copperfield.chapter vii,novelguide
2489,-2.7349740505218505,15,David Copperfield.chapter viii,novelguide
2490,-2.6593529333670936,6,David Copperfield.chapter ix,novelguide
2491,-2.661324958006541,11,David Copperfield.chapter x,novelguide
2492,-3.15084871980879,7,David Copperfield.chapter xi,novelguide
2493,-2.241016685962677,6,David Copperfield.chapter xii,novelguide
2494,-3.088036517302195,6,David Copperfield.chapter xiii,novelguide
2495,-2.654004192352295,6,David Copperfield.chapter xiv,novelguide
2496,-3.177584648132324,7,David Copperfield.chapter xv,novelguide
2497,-2.8442277227129256,10,David Copperfield.chapter xvi,novelguide
2498,-3.0790768706280254,9,David Copperfield.chapter xvii,novelguide
2499,-3.2790754636128745,2,David Copperfield.chapter xviii,novelguide
2500,-3.2558100677671886,8,David Copperfield.chapter xix,novelguide
