,rouge-l,number of Unique sentences,chapter-title,source
174,0.20825227273444671,5,Jane Eyre.volume 2.chapter 22,bookwolf
175,0.20352805927809411,9,Jane Eyre.volume 3.chapter 26,bookwolf
176,0.23198312704183452,6,Jane Eyre.volume 1.chapter 1,novelguide
177,0.1956601480299928,5,Jane Eyre.volume 1.chapter 2,novelguide
178,0.21602923350098432,6,Jane Eyre.volume 1.chapter 3,novelguide
179,0.21391434623071176,7,Jane Eyre.volume 1.chapter 4,novelguide
180,0.20952121699547427,6,Jane Eyre.volume 1.chapter 5,novelguide
181,0.18294809698641665,5,Jane Eyre.volume 1.chapter 6,novelguide
182,0.19571507256000034,3,Jane Eyre.volume 1.chapter 7,novelguide
183,0.24075471833666096,7,Jane Eyre.volume 1.chapter 8,novelguide
184,0.1968308486054236,6,Jane Eyre.volume 1.chapter 9,novelguide
185,0.22438734645111663,8,Jane Eyre.volume 1.chapter 10,novelguide
186,0.21729789510068317,8,Jane Eyre.volume 1.chapter 11,novelguide
187,0.22219486957886814,7,Jane Eyre.volume 1.chapter 12,novelguide
188,0.18821917871937777,7,Jane Eyre.volume 1.chapter 13,novelguide
189,0.2604978214028863,7,Jane Eyre.volume 1.chapter 14,novelguide
190,0.22497838259999342,15,Jane Eyre.volume 1.chapter 15,novelguide
191,0.18427977875994891,4,Jane Eyre.volume 2.chapter 16,novelguide
192,0.20111902654016905,10,Jane Eyre.volume 2.chapter 17,novelguide
193,0.16428601392179906,6,Jane Eyre.volume 2.chapter 18,novelguide
194,0.21555683569725115,6,Jane Eyre.volume 2.chapter 19,novelguide
195,0.19147758658000016,7,Jane Eyre.volume 2.chapter 20,novelguide
196,0.19626452904786681,12,Jane Eyre.volume 2.chapter 21,novelguide
197,0.24038166948817116,4,Jane Eyre.volume 2.chapter 22,novelguide
198,0.23260100579524362,8,Jane Eyre.volume 2.chapter 23,novelguide
199,0.17149342285853933,6,Jane Eyre.volume 2.chapter 24,novelguide
200,0.20599159682881377,9,Jane Eyre.volume 2.chapter 25,novelguide
201,0.2065019157635178,11,Jane Eyre.volume 3.chapter 26,novelguide
202,0.20464800450379367,14,Jane Eyre.volume 3.chapter 27,novelguide
203,0.2227653540700374,8,Jane Eyre.volume 3.chapter 28,novelguide
204,0.1791303997958744,6,Jane Eyre.volume 3.chapter 29,novelguide
205,0.2057945134330737,6,Jane Eyre.volume 3.chapter 30,novelguide
206,0.17566753435640922,5,Jane Eyre.volume 3.chapter 31,novelguide
207,0.2255296915005211,8,Jane Eyre.volume 3.chapter 32,novelguide
208,0.21033364408253608,8,Jane Eyre.volume 3.chapter 33,novelguide
209,0.19994156507889077,7,Jane Eyre.volume 3.chapter 34,novelguide
210,0.19613039243763186,7,Jane Eyre.volume 3.chapter 35,novelguide
211,0.24273085396214056,8,Jane Eyre.volume 3.chapter 36,novelguide
212,0.20255167923601497,12,Jane Eyre.volume 3.chapter 37,novelguide
213,0.24238135966721186,6,Jane Eyre.volume 3.chapter 38,novelguide
214,0.16850765591152728,10,Adam Bede.book 1.chapter 1,gradesaver
215,0.17369140462666585,9,Adam Bede.book 1.chapter 2,gradesaver
216,0.15980651803895524,8,Adam Bede.book 1.chapter 3,gradesaver
217,0.17817400823984006,13,Adam Bede.book 1.chapter 4,gradesaver
218,0.16543182033609552,10,Adam Bede.book 1.chapter 5,gradesaver
219,0.19718641556434954,6,Adam Bede.book 1.chapter 6,gradesaver
220,0.1764522538122371,5,Adam Bede.book 1.chapter 7,gradesaver
221,0.1715786101239387,7,Adam Bede.book 1.chapter 8,gradesaver
222,0.1614811942367482,7,Adam Bede.book 1.chapter 9,gradesaver
223,0.1858235509513866,7,Adam Bede.book 1.chapter 10,gradesaver
224,0.1911583784283957,10,Adam Bede.book 1.chapter 11,gradesaver
225,0.17636350818673072,7,Adam Bede.book 1.chapter 12,gradesaver
226,0.1904200330010224,8,Adam Bede.book 1.chapter 13,gradesaver
227,0.1770711660425918,10,Adam Bede.book 1.chapter 14,gradesaver
228,0.1914588580128124,13,Adam Bede.book 1.chapter 15,gradesaver
229,0.18062852463411938,8,Adam Bede.book 1.chapter 16,gradesaver
230,0.145905177764651,5,Adam Bede.book 2.chapter 17,gradesaver
231,0.1701993552992927,5,Adam Bede.book 2.chapter 18,gradesaver
232,0.15003050326803924,8,Adam Bede.book 2.chapter 19,gradesaver
